@relation DatasetLimpioFormateado

@attribute Mes numeric
@attribute Dia numeric
@attribute Year numeric
@attribute Hora numeric
@attribute Impresiones numeric
@attribute Alcance numeric
@attribute Reacciones numeric

@data
2,8,2023,842,14014,12613,236
8,4,2023,488,5650,4913,50
12,13,2022,852,6905,5409,83
1,6,2023,781,3012,2255,14
3,23,2023,543,3163,2884,29
9,11,2023,549,5191,4514,42
10,9,2023,790,10288,8214,239
2,28,2023,662,3882,3324,11
4,26,2023,604,4779,4127,81
10,3,2022,490,4906,4434,51
4,25,2022,544,99,93,2
4,10,2023,904,2057,1925,7
5,5,2022,905,193,174,2
3,9,2023,1023,6592,4349,30
2,24,2023,602,1976,1751,81
11,25,2023,791,1968,1711,0
3,14,2022,603,39,38,4
5,4,2022,545,181,161,0
12,16,2022,552,7739,5921,213
9,30,2022,969,1648,1478,20
3,30,2022,963,56,52,30
5,11,2023,545,4870,3532,11
5,23,2022,1205,755,627,10
2,1,2023,902,4548,3961,14
5,1,2023,1205,1624,1452,12
3,30,2022,543,50,48,4
8,16,2023,488,5,3,17
1,30,2023,721,2355,2113,16
2,20,2023,662,1556,1351,3
3,26,2023,1203,6794,4607,36
10,12,2023,490,2262,2113,7
2,10,2023,1022,3278,2843,34
2,8,2023,1202,31642,20073,250
1,26,2023,721,1776,1524,2
3,11,2022,843,42,42,19
12,11,2023,972,2967,2261,20
8,25,2023,728,6458,6088,160
5,23,2022,485,791,639,4
5,23,2022,845,749,635,1
2,1,2023,902,3180,2594,19
3,2,2023,843,1221,1071,10
10,19,2023,490,1361,1218,1
1,3,2022,1081,65,60,21
11,3,2023,551,1423,1212,2
6,30,2023,546,2649,2099,14
11,8,2023,611,3173,2946,10
12,20,2023,552,2307,1768,14
11,29,2023,551,3594,3090,12
4,18,2023,544,1598,1424,7
9,15,2023,1029,7107,6592,189
11,2,2023,911,5366,4980,58
3,16,2022,603,51,49,8
9,28,2023,549,5304,4408,143
1,3,2022,1141,49,46,5
10,6,2023,1030,2666,2246,17
5,24,2023,485,3173,2580,26
5,29,2023,545,1916,1547,8
9,18,2023,609,1494,1309,9
3,14,2022,603,43,41,3
10,5,2022,730,6500,5578,394
5,3,2023,545,4464,3666,22
6,16,2023,666,6931,4365,25
10,18,2022,670,3661,3350,34
3,14,2022,603,47,47,12
2,2,2022,482,525,471,8
5,2,2023,665,3932,3434,25
10,4,2022,490,5551,4578,46
4,21,2023,1324,2200,1953,18
12,18,2023,552,6373,5215,28
2,1,2022,722,70,65,10
9,27,2022,909,3328,3225,11
2,7,2023,722,6221,4597,25
5,22,2023,1025,5481,5126,40
9,20,2023,909,1546,1376,2
4,22,2022,484,78,73,1
4,18,2022,724,98,91,5
8,16,2023,908,2949,2619,17
3,16,2022,543,40,39,1
7,31,2023,487,4732,4349,22
10,27,2023,1030,5580,4487,19
5,25,2023,665,8595,7566,115
5,12,2022,665,578,464,11
3,17,2022,783,68,66,14
5,20,2022,665,538,460,0
11,1,2023,611,3229,3019,34
4,25,2023,364,1731,1582,1
6,29,2022,606,9162,6454,58
3,15,2023,843,2142,1799,42
3,25,2022,1023,118,108,4
8,10,2023,488,3480,2835,14
11,16,2023,731,2527,2288,6
5,11,2023,545,7417,5574,46
9,29,2023,489,2630,1985,15
6,29,2023,1146,4092,3370,19
2,11,2022,542,26,26,6
3,9,2023,603,8275,7644,395
8,22,2023,608,3551,3201,26
6,29,2023,1146,5863,4607,170
11,8,2023,611,5010,4251,17
3,31,2022,723,78,75,7
4,29,2022,544,242,214,9
8,10,2023,488,1756,1474,2
2,1,2023,542,1804,1420,3
5,12,2022,485,310,270,1
9,26,2022,789,1176,1076,2
3,20,2023,1143,2019,1830,11
5,10,2023,485,3276,2528,62
1,30,2023,1201,19756,12934,255
6,14,2023,846,5222,4135,38
3,30,2023,723,3702,3555,13
9,28,2022,489,1559,1472,2
10,5,2023,850,2308,1969,38
4,26,2022,1024,96,90,0
3,14,2022,963,46,45,14
11,5,2023,1031,1387,1223,13
12,5,2023,1092,9657,7673,406
3,16,2023,783,8523,5974,136
8,22,2023,548,1920,1702,3
9,23,2022,1089,986,901,14
1,11,2023,661,2480,1967,0
9,30,2023,969,4108,3708,15
8,22,2023,548,3087,2921,1
3,18,2022,543,58,56,3
9,26,2022,609,3713,3690,52
10,26,2023,910,7917,6978,455
10,16,2023,970,3379,3117,17
9,12,2023,549,1321,1098,0
8,15,2023,848,4346,3815,18
2,10,2023,602,3481,2993,18
5,26,2022,1205,1268,1005,0
9,14,2023,849,4318,3808,21
4,17,2023,784,8642,6384,103
5,11,2023,545,3384,2656,14
6,20,2022,786,4297,2424,2
4,10,2023,664,2059,1837,0
6,6,2023,846,6668,5154,63
6,16,2023,1206,2525,1860,2
5,23,2023,965,2655,2090,18
12,13,2023,1032,5147,4391,32
12,18,2023,912,6846,5299,71
5,23,2023,545,4032,2963,11
11,28,2023,731,1770,1499,10
1,17,2023,601,6016,5169,97
4,19,2023,604,4610,3802,26
11,8,2023,611,1663,1489,4
9,6,2023,549,3324,2884,30
