Hora de publicación,Impresiones,Alcance,Comentarios,Compartidos,Clics,Reacciones
01/23/2023 11:01,2396,2170,0,0,0,0
01/23/2023 11:01,1995,1803,1,0,0,1
01/23/2023 16:01,6709,5970,82,3,2,87
01/24/2023 12:01,3006,2792,10,0,2,12
01/24/2023 12:01,15113,11236,134,45,8,187
01/25/2023 10:01,7290,6550,255,36,20,311
01/25/2023 15:01,5421,4806,12,0,2,14
01/26/2023 12:01,1776,1524,2,0,0,2
01/26/2023 16:01,11199,7749,136,3,5,144
01/27/2023 11:01,6434,5744,27,0,0,27
01/28/2023 12:01,1624,1416,9,0,0,9
01/28/2023 17:01,3611,3014,18,0,0,18
01/01/2023 00:01,4361,3019,29,0,3,32
01/02/2023 09:01,7121,5772,34,0,1,35
05/03/2023 09:05,4464,3666,2,2,448,22
05/02/2023 17:05,2898,2497,1,0,105,24
06/30/2023 17:06,12079,8401,27,7,2670,180
06/30/2023 09:06,2649,2099,0,0,26,14
06/29/2023 19:06,4092,3370,2,0,486,19
06/29/2023 19:06,5863,4607,25,1,560,170
06/29/2023 18:06,6626,5744,10,4,679,30
06/29/2023 18:06,6852,5881,11,6,869,51
06/28/2023 11:06,3357,2745,0,1,41,2
06/28/2023 09:06,7187,5626,3,5,1102,72
06/27/2023 13:06,6984,6082,5,12,715,67
06/27/2023 09:06,3091,2559,0,0,34,2
06/26/2023 08:06,2419,1938,0,0,104,6
06/23/2023 12:06,5329,4196,11,9,138,117
06/22/2023 13:06,4349,3434,0,2,245,5
06/22/2023 11:06,3771,2827,1,2,82,4
06/22/2023 08:06,3631,2792,0,2,109,15
06/21/2023 16:06,5919,4859,3,1,965,29
06/21/2023 12:06,2066,1612,0,0,25,1
06/20/2023 12:06,3833,2904,0,2,85,19
06/19/2023 14:06,3788,2912,0,1,90,1
06/18/2023 09:06,3224,2497,1,0,41,27
06/16/2023 20:06,2525,1860,0,0,17,2
06/16/2023 12:06,3594,2685,2,1,74,5
06/16/2023 11:06,6931,4365,3,5,550,25
06/16/2023 10:06,2427,1799,0,0,32,1
06/14/2023 17:06,5152,4180,5,1,226,47
06/14/2023 15:06,2583,1902,0,0,62,15
06/14/2023 14:06,5222,4135,4,0,342,38
06/14/2023 09:06,3297,2434,0,1,38,4
06/14/2023 08:06,4018,3041,0,2,94,39
06/13/2023 14:06,2649,1953,1,5,43,9
06/13/2023 10:06,2659,2011,0,1,39,5
06/13/2023 10:06,7307,6132,17,7,768,198
06/12/2023 14:06,5180,4127,3,2,425,52
06/12/2023 12:06,4002,3145,0,4,85,3
06/12/2023 12:06,6896,5619,1,2,764,115
06/11/2023 17:06,7844,6512,2,5,1271,43
06/11/2023 14:06,2456,1693,1,1,137,12
06/09/2023 11:06,2427,1746,1,0,135,4
